Organoids,Index,y.name,OT,OrganoidsDrug,Drug,Time-point,Apoptotic.ratio,,
SNU-4351S3-7-TO,4,Apoptotic_Ratio,SNU-4351S3-7-TO 2,SNU-4351S3-7-TO Apitolisib,Apitolisib, 1-2,22.54905655,,
SNU-4351S3-8-TO,4,Apoptotic_Ratio,SNU-4351S3-8-TO 2,SNU-4351S3-8-TO Apitolisib,Apitolisib, 1-2,36.10336985,,
SNU-4351S4-1-TO,4,Apoptotic_Ratio,SNU-4351S4-1-TO 2,SNU-4351S4-1-TO Apitolisib,Apitolisib, 1-2,10.64408434,,
SNU-4351S4-2-TO,4,Apoptotic_Ratio,SNU-4351S4-2-TO 2,SNU-4351S4-2-TO Apitolisib,Apitolisib, 1-2,28.92726137,,
SNU-4351S4-3-TO,4,Apoptotic_Ratio,SNU-4351S4-3-TO 2,SNU-4351S4-3-TO Apitolisib,Apitolisib, 1-2,60.62262658,,
SNU-4351S4-4-TO,4,Apoptotic_Ratio,SNU-4351S4-4-TO 2,SNU-4351S4-4-TO Apitolisib,Apitolisib, 1-2,26.5144328,,
SNU-4351S4-5-TO,4,Apoptotic_Ratio,SNU-4351S4-5-TO 2,SNU-4351S4-5-TO Apitolisib,Apitolisib, 1-2,51.050295,,
SNU-4351S4-6-TO,4,Apoptotic_Ratio,SNU-4351S4-6-TO 2,SNU-4351S4-6-TO Apitolisib,Apitolisib, 1-2,44.2533729,,
SNU-4351S4-7-TO,4,Apoptotic_Ratio,SNU-4351S4-7-TO 2,SNU-4351S4-7-TO Apitolisib,Apitolisib, 1-2,47.1588655,,
SNU-4351S4-TO,4,Apoptotic_Ratio,SNU-4351S4-TO 3,SNU-4351S4-TO Apitolisib,Apitolisib, 2-3,9.813336609,,
SNU-4351S1-5-TO,4,Apoptotic_Ratio,SNU-4351S1-5-TO 3,SNU-4351S1-5-TO Apitolisib,Apitolisib, 2-3,8.468756542,,
SNU-4351S1-7-TO,4,Apoptotic_Ratio,SNU-4351S1-7-TO 3,SNU-4351S1-7-TO Apitolisib,Apitolisib, 2-3,0.923685881,,
SNU-4351S2-3-TO,4,Apoptotic_Ratio,SNU-4351S2-3-TO 3,SNU-4351S2-3-TO Apitolisib,Apitolisib, 2-3,6.786846392,,
SNU-4351S2-4-TO,4,Apoptotic_Ratio,SNU-4351S2-4-TO 3,SNU-4351S2-4-TO Apitolisib,Apitolisib, 2-3,5.157565646,,
SNU-4351S3-1-TO,4,Apoptotic_Ratio,SNU-4351S3-1-TO 3,SNU-4351S3-1-TO Apitolisib,Apitolisib, 2-3,-2.770636632,,
SNU-4351S3-2-TO,4,Apoptotic_Ratio,SNU-4351S3-2-TO 3,SNU-4351S3-2-TO Apitolisib,Apitolisib, 2-3,-3.274614667,,
SNU-4351S3-7-TO,4,Apoptotic_Ratio,SNU-4351S3-7-TO 3,SNU-4351S3-7-TO Apitolisib,Apitolisib, 2-3,-0.969033223,,
SNU-4351S3-8-TO,4,Apoptotic_Ratio,SNU-4351S3-8-TO 3,SNU-4351S3-8-TO Apitolisib,Apitolisib, 2-3,4.998645406,,
SNU-4351S4-1-TO,4,Apoptotic_Ratio,SNU-4351S4-1-TO 3,SNU-4351S4-1-TO Apitolisib,Apitolisib, 2-3,10.8288487,,
SNU-4351S4-2-TO,4,Apoptotic_Ratio,SNU-4351S4-2-TO 3,SNU-4351S4-2-TO Apitolisib,Apitolisib, 2-3,5.458401492,,
SNU-4351S4-3-TO,4,Apoptotic_Ratio,SNU-4351S4-3-TO 3,SNU-4351S4-3-TO Apitolisib,Apitolisib, 2-3,6.905962303,,
SNU-4351S4-4-TO,4,Apoptotic_Ratio,SNU-4351S4-4-TO 3,SNU-4351S4-4-TO Apitolisib,Apitolisib, 2-3,8.725181543,,
SNU-4351S4-5-TO,4,Apoptotic_Ratio,SNU-4351S4-5-TO 3,SNU-4351S4-5-TO Apitolisib,Apitolisib, 2-3,-1.688819075,,
SNU-4351S4-6-TO,4,Apoptotic_Ratio,SNU-4351S4-6-TO 3,SNU-4351S4-6-TO Apitolisib,Apitolisib, 2-3,5.770045595,,
SNU-4351S4-7-TO,4,Apoptotic_Ratio,SNU-4351S4-7-TO 3,SNU-4351S4-7-TO Apitolisib,Apitolisib, 2-3,9.483278543,,
SNU-4351S4-TO,5,Apoptotic_Ratio,SNU-4351S4-TO 1,SNU-4351S4-TO Belinostat,Belinostat, 0-1,5.948141397,,
SNU-4351S1-5-TO,5,Apoptotic_Ratio,SNU-4351S1-5-TO 1,SNU-4351S1-5-TO Belinostat,Belinostat, 0-1,13.67810102,,
SNU-4351S1-7-TO,5,Apoptotic_Ratio,SNU-4351S1-7-TO 1,SNU-4351S1-7-TO Belinostat,Belinostat, 0-1,25.24999062,,
SNU-4351S2-3-TO,5,Apoptotic_Ratio,SNU-4351S2-3-TO 1,SNU-4351S2-3-TO Belinostat,Belinostat, 0-1,24.43706914,,
SNU-4351S2-4-TO,5,Apoptotic_Ratio,SNU-4351S2-4-TO 1,SNU-4351S2-4-TO Belinostat,Belinostat, 0-1,20.67224248,,
SNU-4351S3-1-TO,5,Apoptotic_Ratio,SNU-4351S3-1-TO 1,SNU-4351S3-1-TO Belinostat,Belinostat, 0-1,7.745339157,,
SNU-4351S3-2-TO,5,Apoptotic_Ratio,SNU-4351S3-2-TO 1,SNU-4351S3-2-TO Belinostat,Belinostat, 0-1,24.20159758,,
SNU-4351S3-7-TO,5,Apoptotic_Ratio,SNU-4351S3-7-TO 1,SNU-4351S3-7-TO Belinostat,Belinostat, 0-1,22.91073387,,
SNU-4351S3-8-TO,5,Apoptotic_Ratio,SNU-4351S3-8-TO 1,SNU-4351S3-8-TO Belinostat,Belinostat, 0-1,7.131539573,,
SNU-4351S4-1-TO,5,Apoptotic_Ratio,SNU-4351S4-1-TO 1,SNU-4351S4-1-TO Belinostat,Belinostat, 0-1,21.16428354,,
SNU-4351S4-2-TO,5,Apoptotic_Ratio,SNU-4351S4-2-TO 1,SNU-4351S4-2-TO Belinostat,Belinostat, 0-1,13.65599984,,
SNU-4351S4-3-TO,5,Apoptotic_Ratio,SNU-4351S4-3-TO 1,SNU-4351S4-3-TO Belinostat,Belinostat, 0-1,9.765294027,,
SNU-4351S4-4-TO,5,Apoptotic_Ratio,SNU-4351S4-4-TO 1,SNU-4351S4-4-TO Belinostat,Belinostat, 0-1,13.66456855,,
SNU-4351S4-5-TO,5,Apoptotic_Ratio,SNU-4351S4-5-TO 1,SNU-4351S4-5-TO Belinostat,Belinostat, 0-1,29.61684,,
SNU-4351S4-6-TO,5,Apoptotic_Ratio,SNU-4351S4-6-TO 1,SNU-4351S4-6-TO Belinostat,Belinostat, 0-1,10.65938421,,
SNU-4351S4-7-TO,5,Apoptotic_Ratio,SNU-4351S4-7-TO 1,SNU-4351S4-7-TO Belinostat,Belinostat, 0-1,18.90328266,,
SNU-4351S4-TO,5,Apoptotic_Ratio,SNU-4351S4-TO 2,SNU-4351S4-TO Belinostat,Belinostat, 1-2,47.67728025,,
SNU-4351S1-5-TO,5,Apoptotic_Ratio,SNU-4351S1-5-TO 2,SNU-4351S1-5-TO Belinostat,Belinostat, 1-2,37.47152557,,
SNU-4351S1-7-TO,5,Apoptotic_Ratio,SNU-4351S1-7-TO 2,SNU-4351S1-7-TO Belinostat,Belinostat, 1-2,36.64541825,,
SNU-4351S2-3-TO,5,Apoptotic_Ratio,SNU-4351S2-3-TO 2,SNU-4351S2-3-TO Belinostat,Belinostat, 1-2,46.62066518,,
SNU-4351S2-4-TO,5,Apoptotic_Ratio,SNU-4351S2-4-TO 2,SNU-4351S2-4-TO Belinostat,Belinostat, 1-2,49.68714903,,
SNU-4351S3-1-TO,5,Apoptotic_Ratio,SNU-4351S3-1-TO 2,SNU-4351S3-1-TO Belinostat,Belinostat, 1-2,46.13158113,,
SNU-4351S3-2-TO,5,Apoptotic_Ratio,SNU-4351S3-2-TO 2,SNU-4351S3-2-TO Belinostat,Belinostat, 1-2,49.23534141,,
SNU-4351S3-7-TO,5,Apoptotic_Ratio,SNU-4351S3-7-TO 2,SNU-4351S3-7-TO Belinostat,Belinostat, 1-2,41.27365134,,
SNU-4351S3-8-TO,5,Apoptotic_Ratio,SNU-4351S3-8-TO 2,SNU-4351S3-8-TO Belinostat,Belinostat, 1-2,51.86434375,,
SNU-4351S4-1-TO,5,Apoptotic_Ratio,SNU-4351S4-1-TO 2,SNU-4351S4-1-TO Belinostat,Belinostat, 1-2,40.75147651,,
SNU-4351S4-2-TO,5,Apoptotic_Ratio,SNU-4351S4-2-TO 2,SNU-4351S4-2-TO Belinostat,Belinostat, 1-2,49.26452594,,
SNU-4351S4-3-TO,5,Apoptotic_Ratio,SNU-4351S4-3-TO 2,SNU-4351S4-3-TO Belinostat,Belinostat, 1-2,58.15825056,,
SNU-4351S4-4-TO,5,Apoptotic_Ratio,SNU-4351S4-4-TO 2,SNU-4351S4-4-TO Belinostat,Belinostat, 1-2,49.47574908,,
SNU-4351S4-5-TO,5,Apoptotic_Ratio,SNU-4351S4-5-TO 2,SNU-4351S4-5-TO Belinostat,Belinostat, 1-2,37.79993437,,
SNU-4351S4-6-TO,5,Apoptotic_Ratio,SNU-4351S4-6-TO 2,SNU-4351S4-6-TO Belinostat,Belinostat, 1-2,50.32578002,,
SNU-4351S4-7-TO,5,Apoptotic_Ratio,SNU-4351S4-7-TO 2,SNU-4351S4-7-TO Belinostat,Belinostat, 1-2,48.07677068,,
SNU-4351S4-TO,5,Apoptotic_Ratio,SNU-4351S4-TO 3,SNU-4351S4-TO Belinostat,Belinostat, 2-3,25.23463189,,
SNU-4351S1-5-TO,5,Apoptotic_Ratio,SNU-4351S1-5-TO 3,SNU-4351S1-5-TO Belinostat,Belinostat, 2-3,14.86112538,,
SNU-4351S1-7-TO,5,Apoptotic_Ratio,SNU-4351S1-7-TO 3,SNU-4351S1-7-TO Belinostat,Belinostat, 2-3,16.98916011,,
SNU-4351S2-3-TO,5,Apoptotic_Ratio,SNU-4351S2-3-TO 3,SNU-4351S2-3-TO Belinostat,Belinostat, 2-3,17.21199184,,
SNU-4351S2-4-TO,5,Apoptotic_Ratio,SNU-4351S2-4-TO 3,SNU-4351S2-4-TO Belinostat,Belinostat, 2-3,15.71720244,,
SNU-4351S3-1-TO,5,Apoptotic_Ratio,SNU-4351S3-1-TO 3,SNU-4351S3-1-TO Belinostat,Belinostat, 2-3,21.0871433,,
SNU-4351S3-2-TO,5,Apoptotic_Ratio,SNU-4351S3-2-TO 3,SNU-4351S3-2-TO Belinostat,Belinostat, 2-3,8.907229139,,
SNU-4351S3-7-TO,5,Apoptotic_Ratio,SNU-4351S3-7-TO 3,SNU-4351S3-7-TO Belinostat,Belinostat, 2-3,12.54607018,,
SNU-4351S3-8-TO,5,Apoptotic_Ratio,SNU-4351S3-8-TO 3,SNU-4351S3-8-TO Belinostat,Belinostat, 2-3,15.45212416,,
SNU-4351S4-1-TO,5,Apoptotic_Ratio,SNU-4351S4-1-TO 3,SNU-4351S4-1-TO Belinostat,Belinostat, 2-3,19.33158675,,
SNU-4351S4-2-TO,5,Apoptotic_Ratio,SNU-4351S4-2-TO 3,SNU-4351S4-2-TO Belinostat,Belinostat, 2-3,20.34285561,,
SNU-4351S4-3-TO,5,Apoptotic_Ratio,SNU-4351S4-3-TO 3,SNU-4351S4-3-TO Belinostat,Belinostat, 2-3,13.09912499,,
SNU-4351S4-4-TO,5,Apoptotic_Ratio,SNU-4351S4-4-TO 3,SNU-4351S4-4-TO Belinostat,Belinostat, 2-3,2.960405482,,
SNU-4351S4-5-TO,5,Apoptotic_Ratio,SNU-4351S4-5-TO 3,SNU-4351S4-5-TO Belinostat,Belinostat, 2-3,2.143491408,,
SNU-4351S4-6-TO,5,Apoptotic_Ratio,SNU-4351S4-6-TO 3,SNU-4351S4-6-TO Belinostat,Belinostat, 2-3,19.68974172,,
SNU-4351S4-7-TO,5,Apoptotic_Ratio,SNU-4351S4-7-TO 3,SNU-4351S4-7-TO Belinostat,Belinostat, 2-3,20.06743629,,
SNU-4351S4-TO,6,Apoptotic_Ratio,SNU-4351S4-TO 1,SNU-4351S4-TO Trametinib,Trametinib, 0-1,6.152547515,,
SNU-4351S1-5-TO,6,Apoptotic_Ratio,SNU-4351S1-5-TO 1,SNU-4351S1-5-TO Trametinib,Trametinib, 0-1,10.00610134,,
SNU-4351S1-7-TO,6,Apoptotic_Ratio,SNU-4351S1-7-TO 1,SNU-4351S1-7-TO Trametinib,Trametinib, 0-1,38.00716842,,
SNU-4351S2-3-TO,6,Apoptotic_Ratio,SNU-4351S2-3-TO 1,SNU-4351S2-3-TO Trametinib,Trametinib, 0-1,17.91421954,,
SNU-4351S2-4-TO,6,Apoptotic_Ratio,SNU-4351S2-4-TO 1,SNU-4351S2-4-TO Trametinib,Trametinib, 0-1,24.82267196,,
SNU-4351S3-1-TO,6,Apoptotic_Ratio,SNU-4351S3-1-TO 1,SNU-4351S3-1-TO Trametinib,Trametinib, 0-1,4.502428284,,
SNU-4351S3-2-TO,6,Apoptotic_Ratio,SNU-4351S3-2-TO 1,SNU-4351S3-2-TO Trametinib,Trametinib, 0-1,24.38035414,,
SNU-4351S3-7-TO,6,Apoptotic_Ratio,SNU-4351S3-7-TO 1,SNU-4351S3-7-TO Trametinib,Trametinib, 0-1,41.64388578,,
SNU-4351S3-8-TO,6,Apoptotic_Ratio,SNU-4351S3-8-TO 1,SNU-4351S3-8-TO Trametinib,Trametinib, 0-1,2.185942889,,
SNU-4351S4-1-TO,6,Apoptotic_Ratio,SNU-4351S4-1-TO 1,SNU-4351S4-1-TO Trametinib,Trametinib, 0-1,25.56692719,,
SNU-4351S4-2-TO,6,Apoptotic_Ratio,SNU-4351S4-2-TO 1,SNU-4351S4-2-TO Trametinib,Trametinib, 0-1,18.34487574,,
SNU-4351S4-3-TO,6,Apoptotic_Ratio,SNU-4351S4-3-TO 1,SNU-4351S4-3-TO Trametinib,Trametinib, 0-1,7.576109501,,
SNU-4351S4-4-TO,6,Apoptotic_Ratio,SNU-4351S4-4-TO 1,SNU-4351S4-4-TO Trametinib,Trametinib, 0-1,12.90144461,,
SNU-4351S4-5-TO,6,Apoptotic_Ratio,SNU-4351S4-5-TO 1,SNU-4351S4-5-TO Trametinib,Trametinib, 0-1,28.04542076,,
SNU-4351S4-6-TO,6,Apoptotic_Ratio,SNU-4351S4-6-TO 1,SNU-4351S4-6-TO Trametinib,Trametinib, 0-1,11.63235171,,
SNU-4351S4-7-TO,6,Apoptotic_Ratio,SNU-4351S4-7-TO 1,SNU-4351S4-7-TO Trametinib,Trametinib, 0-1,22.26885305,,
SNU-4351S4-TO,6,Apoptotic_Ratio,SNU-4351S4-TO 2,SNU-4351S4-TO Trametinib,Trametinib, 1-2,39.11874811,,
SNU-4351S1-5-TO,6,Apoptotic_Ratio,SNU-4351S1-5-TO 2,SNU-4351S1-5-TO Trametinib,Trametinib, 1-2,30.45690321,,
SNU-4351S1-7-TO,6,Apoptotic_Ratio,SNU-4351S1-7-TO 2,SNU-4351S1-7-TO Trametinib,Trametinib, 1-2,36.80518644,,
SNU-4351S2-3-TO,6,Apoptotic_Ratio,SNU-4351S2-3-TO 2,SNU-4351S2-3-TO Trametinib,Trametinib, 1-2,55.67020748,,
SNU-4351S2-4-TO,6,Apoptotic_Ratio,SNU-4351S2-4-TO 2,SNU-4351S2-4-TO Trametinib,Trametinib, 1-2,43.22660969,,
SNU-4351S3-1-TO,6,Apoptotic_Ratio,SNU-4351S3-1-TO 2,SNU-4351S3-1-TO Trametinib,Trametinib, 1-2,27.31051392,,
SNU-4351S3-2-TO,6,Apoptotic_Ratio,SNU-4351S3-2-TO 2,SNU-4351S3-2-TO Trametinib,Trametinib, 1-2,50.39520864,,
SNU-4351S3-7-TO,6,Apoptotic_Ratio,SNU-4351S3-7-TO 2,SNU-4351S3-7-TO Trametinib,Trametinib, 1-2,30.99754075,,
SNU-4351S3-8-TO,6,Apoptotic_Ratio,SNU-4351S3-8-TO 2,SNU-4351S3-8-TO Trametinib,Trametinib, 1-2,56.43681777,,
SNU-4351S4-1-TO,6,Apoptotic_Ratio,SNU-4351S4-1-TO 2,SNU-4351S4-1-TO Trametinib,Trametinib, 1-2,30.49172087,,
SNU-4351S4-2-TO,6,Apoptotic_Ratio,SNU-4351S4-2-TO 2,SNU-4351S4-2-TO Trametinib,Trametinib, 1-2,52.14974062,,
SNU-4351S4-3-TO,6,Apoptotic_Ratio,SNU-4351S4-3-TO 2,SNU-4351S4-3-TO Trametinib,Trametinib, 1-2,66.05359629,,
SNU-4351S4-4-TO,6,Apoptotic_Ratio,SNU-4351S4-4-TO 2,SNU-4351S4-4-TO Trametinib,Trametinib, 1-2,49.41568188,,
SNU-4351S4-5-TO,6,Apoptotic_Ratio,SNU-4351S4-5-TO 2,SNU-4351S4-5-TO Trametinib,Trametinib, 1-2,47.42040181,,
SNU-4351S4-6-TO,6,Apoptotic_Ratio,SNU-4351S4-6-TO 2,SNU-4351S4-6-TO Trametinib,Trametinib, 1-2,52.10889263,,
SNU-4351S4-7-TO,6,Apoptotic_Ratio,SNU-4351S4-7-TO 2,SNU-4351S4-7-TO Trametinib,Trametinib, 1-2,59.1298052,,
SNU-4351S4-TO,6,Apoptotic_Ratio,SNU-4351S4-TO 3,SNU-4351S4-TO Trametinib,Trametinib, 2-3,20.70627028,,
SNU-4351S1-5-TO,6,Apoptotic_Ratio,SNU-4351S1-5-TO 3,SNU-4351S1-5-TO Trametinib,Trametinib, 2-3,17.33876206,,
SNU-4351S1-7-TO,6,Apoptotic_Ratio,SNU-4351S1-7-TO 3,SNU-4351S1-7-TO Trametinib,Trametinib, 2-3,12.24499654,,
SNU-4351S2-3-TO,6,Apoptotic_Ratio,SNU-4351S2-3-TO 3,SNU-4351S2-3-TO Trametinib,Trametinib, 2-3,15.44406713,,
SNU-4351S2-4-TO,6,Apoptotic_Ratio,SNU-4351S2-4-TO 3,SNU-4351S2-4-TO Trametinib,Trametinib, 2-3,9.585245537,,
SNU-4351S3-1-TO,6,Apoptotic_Ratio,SNU-4351S3-1-TO 3,SNU-4351S3-1-TO Trametinib,Trametinib, 2-3,25.75569309,,
SNU-4351S3-2-TO,6,Apoptotic_Ratio,SNU-4351S3-2-TO 3,SNU-4351S3-2-TO Trametinib,Trametinib, 2-3,12.00069001,,
SNU-4351S3-7-TO,6,Apoptotic_Ratio,SNU-4351S3-7-TO 3,SNU-4351S3-7-TO Trametinib,Trametinib, 2-3,5.046576843,,
SNU-4351S3-8-TO,6,Apoptotic_Ratio,SNU-4351S3-8-TO 3,SNU-4351S3-8-TO Trametinib,Trametinib, 2-3,16.75691702,,
SNU-4351S4-1-TO,6,Apoptotic_Ratio,SNU-4351S4-1-TO 3,SNU-4351S4-1-TO Trametinib,Trametinib, 2-3,16.55155431,,
SNU-4351S4-2-TO,6,Apoptotic_Ratio,SNU-4351S4-2-TO 3,SNU-4351S4-2-TO Trametinib,Trametinib, 2-3,15.13258156,,
SNU-4351S4-3-TO,6,Apoptotic_Ratio,SNU-4351S4-3-TO 3,SNU-4351S4-3-TO Trametinib,Trametinib, 2-3,7.594354609,,
SNU-4351S4-4-TO,6,Apoptotic_Ratio,SNU-4351S4-4-TO 3,SNU-4351S4-4-TO Trametinib,Trametinib, 2-3,15.85759735,,
SNU-4351S4-5-TO,6,Apoptotic_Ratio,SNU-4351S4-5-TO 3,SNU-4351S4-5-TO Trametinib,Trametinib, 2-3,8.638101236,,
SNU-4351S4-6-TO,6,Apoptotic_Ratio,SNU-4351S4-6-TO 3,SNU-4351S4-6-TO Trametinib,Trametinib, 2-3,16.5712178,,
SNU-4351S4-7-TO,6,Apoptotic_Ratio,SNU-4351S4-7-TO 3,SNU-4351S4-7-TO Trametinib,Trametinib, 2-3,8.874088052,,
SNU-4351S4-TO,7,Apoptotic_Ratio,SNU-4351S4-TO 1,SNU-4351S4-TO Cyclopamine,Cyclopamine, 0-1,5.481002013,,
SNU-4351S1-5-TO,7,Apoptotic_Ratio,SNU-4351S1-5-TO 1,SNU-4351S1-5-TO Cyclopamine,Cyclopamine, 0-1,15.1994281,,
SNU-4351S1-7-TO,7,Apoptotic_Ratio,SNU-4351S1-7-TO 1,SNU-4351S1-7-TO Cyclopamine,Cyclopamine, 0-1,28.85971565,,
SNU-4351S2-3-TO,7,Apoptotic_Ratio,SNU-4351S2-3-TO 1,SNU-4351S2-3-TO Cyclopamine,Cyclopamine, 0-1,30.20828001,,
SNU-4351S2-4-TO,7,Apoptotic_Ratio,SNU-4351S2-4-TO 1,SNU-4351S2-4-TO Cyclopamine,Cyclopamine, 0-1,16.2580068,,
SNU-4351S3-1-TO,7,Apoptotic_Ratio,SNU-4351S3-1-TO 1,SNU-4351S3-1-TO Cyclopamine,Cyclopamine, 0-1,4.930700832,,
SNU-4351S3-2-TO,7,Apoptotic_Ratio,SNU-4351S3-2-TO 1,SNU-4351S3-2-TO Cyclopamine,Cyclopamine, 0-1,17.80238609,,
SNU-4351S3-7-TO,7,Apoptotic_Ratio,SNU-4351S3-7-TO 1,SNU-4351S3-7-TO Cyclopamine,Cyclopamine, 0-1,28.26612817,,
SNU-4351S3-8-TO,7,Apoptotic_Ratio,SNU-4351S3-8-TO 1,SNU-4351S3-8-TO Cyclopamine,Cyclopamine, 0-1,3.865913579,,
SNU-4351S4-1-TO,7,Apoptotic_Ratio,SNU-4351S4-1-TO 1,SNU-4351S4-1-TO Cyclopamine,Cyclopamine, 0-1,24.79960858,,
SNU-4351S4-2-TO,7,Apoptotic_Ratio,SNU-4351S4-2-TO 1,SNU-4351S4-2-TO Cyclopamine,Cyclopamine, 0-1,25.28353944,,
SNU-4351S4-3-TO,7,Apoptotic_Ratio,SNU-4351S4-3-TO 1,SNU-4351S4-3-TO Cyclopamine,Cyclopamine, 0-1,7.878757041,,
SNU-4351S4-4-TO,7,Apoptotic_Ratio,SNU-4351S4-4-TO 1,SNU-4351S4-4-TO Cyclopamine,Cyclopamine, 0-1,16.21808422,,
SNU-4351S4-5-TO,7,Apoptotic_Ratio,SNU-4351S4-5-TO 1,SNU-4351S4-5-TO Cyclopamine,Cyclopamine, 0-1,31.45378296,,
SNU-4351S4-6-TO,7,Apoptotic_Ratio,SNU-4351S4-6-TO 1,SNU-4351S4-6-TO Cyclopamine,Cyclopamine, 0-1,11.54026876,,
SNU-4351S4-7-TO,7,Apoptotic_Ratio,SNU-4351S4-7-TO 1,SNU-4351S4-7-TO Cyclopamine,Cyclopamine, 0-1,30.48391298,,
SNU-4351S4-TO,7,Apoptotic_Ratio,SNU-4351S4-TO 2,SNU-4351S4-TO Cyclopamine,Cyclopamine, 1-2,5.614778418,,
SNU-4351S1-5-TO,7,Apoptotic_Ratio,SNU-4351S1-5-TO 2,SNU-4351S1-5-TO Cyclopamine,Cyclopamine, 1-2,36.6650667,,
SNU-4351S1-7-TO,7,Apoptotic_Ratio,SNU-4351S1-7-TO 2,SNU-4351S1-7-TO Cyclopamine,Cyclopamine, 1-2,0.356924424,,
SNU-4351S2-3-TO,7,Apoptotic_Ratio,SNU-4351S2-3-TO 2,SNU-4351S2-3-TO Cyclopamine,Cyclopamine, 1-2,39.56063442,,
SNU-4351S2-4-TO,7,Apoptotic_Ratio,SNU-4351S2-4-TO 2,SNU-4351S2-4-TO Cyclopamine,Cyclopamine, 1-2,6.238246407,,
SNU-4351S3-1-TO,7,Apoptotic_Ratio,SNU-4351S3-1-TO 2,SNU-4351S3-1-TO Cyclopamine,Cyclopamine, 1-2,1.823349425,,
SNU-4351S3-2-TO,7,Apoptotic_Ratio,SNU-4351S3-2-TO 2,SNU-4351S3-2-TO Cyclopamine,Cyclopamine, 1-2,1.952286234,,
SNU-4351S3-7-TO,7,Apoptotic_Ratio,SNU-4351S3-7-TO 2,SNU-4351S3-7-TO Cyclopamine,Cyclopamine, 1-2,-4.72965875,,
SNU-4351S3-8-TO,7,Apoptotic_Ratio,SNU-4351S3-8-TO 2,SNU-4351S3-8-TO Cyclopamine,Cyclopamine, 1-2,7.066279589,,
SNU-4351S4-1-TO,7,Apoptotic_Ratio,SNU-4351S4-1-TO 2,SNU-4351S4-1-TO Cyclopamine,Cyclopamine, 1-2,1.199743376,,
SNU-4351S4-2-TO,7,Apoptotic_Ratio,SNU-4351S4-2-TO 2,SNU-4351S4-2-TO Cyclopamine,Cyclopamine, 1-2,-5,,
SNU-4351S4-3-TO,7,Apoptotic_Ratio,SNU-4351S4-3-TO 2,SNU-4351S4-3-TO Cyclopamine,Cyclopamine, 1-2,14.07775755,,
SNU-4351S4-4-TO,7,Apoptotic_Ratio,SNU-4351S4-4-TO 2,SNU-4351S4-4-TO Cyclopamine,Cyclopamine, 1-2,33.14632823,,
SNU-4351S4-5-TO,7,Apoptotic_Ratio,SNU-4351S4-5-TO 2,SNU-4351S4-5-TO Cyclopamine,Cyclopamine, 1-2,37.55102831,,
SNU-4351S4-6-TO,7,Apoptotic_Ratio,SNU-4351S4-6-TO 2,SNU-4351S4-6-TO Cyclopamine,Cyclopamine, 1-2,13.76492159,,
SNU-4351S4-7-TO,7,Apoptotic_Ratio,SNU-4351S4-7-TO 2,SNU-4351S4-7-TO Cyclopamine,Cyclopamine, 1-2,37.67650967,,
SNU-4351S4-TO,7,Apoptotic_Ratio,SNU-4351S4-TO 3,SNU-4351S4-TO Cyclopamine,Cyclopamine, 2-3,-1.114417735,,
SNU-4351S1-5-TO,7,Apoptotic_Ratio,SNU-4351S1-5-TO 3,SNU-4351S1-5-TO Cyclopamine,Cyclopamine, 2-3,12.25165709,,
SNU-4351S1-7-TO,7,Apoptotic_Ratio,SNU-4351S1-7-TO 3,SNU-4351S1-7-TO Cyclopamine,Cyclopamine, 2-3,-9.135032096,,
SNU-4351S2-3-TO,7,Apoptotic_Ratio,SNU-4351S2-3-TO 3,SNU-4351S2-3-TO Cyclopamine,Cyclopamine, 2-3,-11.75817769,,
SNU-4351S2-4-TO,7,Apoptotic_Ratio,SNU-4351S2-4-TO 3,SNU-4351S2-4-TO Cyclopamine,Cyclopamine, 2-3,-8.589884831,,
SNU-4351S3-1-TO,7,Apoptotic_Ratio,SNU-4351S3-1-TO 3,SNU-4351S3-1-TO Cyclopamine,Cyclopamine, 2-3,-1.327263146,,
SNU-4351S3-2-TO,7,Apoptotic_Ratio,SNU-4351S3-2-TO 3,SNU-4351S3-2-TO Cyclopamine,Cyclopamine, 2-3,-9.75802446,,
SNU-4351S3-7-TO,7,Apoptotic_Ratio,SNU-4351S3-7-TO 3,SNU-4351S3-7-TO Cyclopamine,Cyclopamine, 2-3,-8.600255441,,
SNU-4351S3-8-TO,7,Apoptotic_Ratio,SNU-4351S3-8-TO 3,SNU-4351S3-8-TO Cyclopamine,Cyclopamine, 2-3,-2.128355125,,
SNU-4351S4-1-TO,7,Apoptotic_Ratio,SNU-4351S4-1-TO 3,SNU-4351S4-1-TO Cyclopamine,Cyclopamine, 2-3,-2.427095945,,
SNU-4351S4-2-TO,7,Apoptotic_Ratio,SNU-4351S4-2-TO 3,SNU-4351S4-2-TO Cyclopamine,Cyclopamine, 2-3,-11.22953482,,
SNU-4351S4-3-TO,7,Apoptotic_Ratio,SNU-4351S4-3-TO 3,SNU-4351S4-3-TO Cyclopamine,Cyclopamine, 2-3,-5.780696456,,
SNU-4351S4-4-TO,7,Apoptotic_Ratio,SNU-4351S4-4-TO 3,SNU-4351S4-4-TO Cyclopamine,Cyclopamine, 2-3,-8.626016805,,
SNU-4351S4-5-TO,7,Apoptotic_Ratio,SNU-4351S4-5-TO 3,SNU-4351S4-5-TO Cyclopamine,Cyclopamine, 2-3,-5,,
